genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
art rock,https://api.spotify.com/v1/artists/0oSGxfWSnnOXhD2fKuz2Gy,0oSGxfWSnnOXhD2fKuz2Gy,,David Bowie,78,artist,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,https://open.spotify.com/artist/0oSGxfWSnnOXhD2fKuz2Gy,NA,9349272
classic rock,https://api.spotify.com/v1/artists/0oSGxfWSnnOXhD2fKuz2Gy,0oSGxfWSnnOXhD2fKuz2Gy,,David Bowie,78,artist,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,https://open.spotify.com/artist/0oSGxfWSnnOXhD2fKuz2Gy,NA,9349272
glam rock,https://api.spotify.com/v1/artists/0oSGxfWSnnOXhD2fKuz2Gy,0oSGxfWSnnOXhD2fKuz2Gy,,David Bowie,78,artist,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,https://open.spotify.com/artist/0oSGxfWSnnOXhD2fKuz2Gy,NA,9349272
permanent wave,https://api.spotify.com/v1/artists/0oSGxfWSnnOXhD2fKuz2Gy,0oSGxfWSnnOXhD2fKuz2Gy,,David Bowie,78,artist,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,https://open.spotify.com/artist/0oSGxfWSnnOXhD2fKuz2Gy,NA,9349272
rock,https://api.spotify.com/v1/artists/0oSGxfWSnnOXhD2fKuz2Gy,0oSGxfWSnnOXhD2fKuz2Gy,,David Bowie,78,artist,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,https://open.spotify.com/artist/0oSGxfWSnnOXhD2fKuz2Gy,NA,9349272
album rock,https://api.spotify.com/v1/artists/0ECwFtbIWEVNwjlrfc6xoL,0ECwFtbIWEVNwjlrfc6xoL,,Eagles,76,artist,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL,https://open.spotify.com/artist/0ECwFtbIWEVNwjlrfc6xoL,NA,9395144
classic rock,https://api.spotify.com/v1/artists/0ECwFtbIWEVNwjlrfc6xoL,0ECwFtbIWEVNwjlrfc6xoL,,Eagles,76,artist,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL,https://open.spotify.com/artist/0ECwFtbIWEVNwjlrfc6xoL,NA,9395144
heartland rock,https://api.spotify.com/v1/artists/0ECwFtbIWEVNwjlrfc6xoL,0ECwFtbIWEVNwjlrfc6xoL,,Eagles,76,artist,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL,https://open.spotify.com/artist/0ECwFtbIWEVNwjlrfc6xoL,NA,9395144
mellow gold,https://api.spotify.com/v1/artists/0ECwFtbIWEVNwjlrfc6xoL,0ECwFtbIWEVNwjlrfc6xoL,,Eagles,76,artist,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL,https://open.spotify.com/artist/0ECwFtbIWEVNwjlrfc6xoL,NA,9395144
rock,https://api.spotify.com/v1/artists/0ECwFtbIWEVNwjlrfc6xoL,0ECwFtbIWEVNwjlrfc6xoL,,Eagles,76,artist,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL,https://open.spotify.com/artist/0ECwFtbIWEVNwjlrfc6xoL,NA,9395144
soft rock,https://api.spotify.com/v1/artists/0ECwFtbIWEVNwjlrfc6xoL,0ECwFtbIWEVNwjlrfc6xoL,,Eagles,76,artist,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL,https://open.spotify.com/artist/0ECwFtbIWEVNwjlrfc6xoL,NA,9395144
yacht rock,https://api.spotify.com/v1/artists/0ECwFtbIWEVNwjlrfc6xoL,0ECwFtbIWEVNwjlrfc6xoL,,Eagles,76,artist,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL,https://open.spotify.com/artist/0ECwFtbIWEVNwjlrfc6xoL,NA,9395144
