genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
sophisti-pop,https://api.spotify.com/v1/artists/4bthk9UfsYUYdcFyqxmSUU,4bthk9UfsYUYdcFyqxmSUU,,Tears For Fears,74,artist,spotify:artist:4bthk9UfsYUYdcFyqxmSUU,https://open.spotify.com/artist/4bthk9UfsYUYdcFyqxmSUU,NA,2794014
synthpop,https://api.spotify.com/v1/artists/4bthk9UfsYUYdcFyqxmSUU,4bthk9UfsYUYdcFyqxmSUU,,Tears For Fears,74,artist,spotify:artist:4bthk9UfsYUYdcFyqxmSUU,https://open.spotify.com/artist/4bthk9UfsYUYdcFyqxmSUU,NA,2794014
dance pop,https://api.spotify.com/v1/artists/6XpaIBNiVzIetEPCWDvAFP,6XpaIBNiVzIetEPCWDvAFP,,Whitney Houston,77,artist,spotify:artist:6XpaIBNiVzIetEPCWDvAFP,https://open.spotify.com/artist/6XpaIBNiVzIetEPCWDvAFP,NA,9137984
album rock,https://api.spotify.com/v1/artists/0rvjqX7ttXeg3mTy8Xscbt,0rvjqX7ttXeg3mTy8Xscbt,,Journey,74,artist,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,https://open.spotify.com/artist/0rvjqX7ttXeg3mTy8Xscbt,NA,4932320
classic rock,https://api.spotify.com/v1/artists/0rvjqX7ttXeg3mTy8Xscbt,0rvjqX7ttXeg3mTy8Xscbt,,Journey,74,artist,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,https://open.spotify.com/artist/0rvjqX7ttXeg3mTy8Xscbt,NA,4932320
hard rock,https://api.spotify.com/v1/artists/0rvjqX7ttXeg3mTy8Xscbt,0rvjqX7ttXeg3mTy8Xscbt,,Journey,74,artist,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,https://open.spotify.com/artist/0rvjqX7ttXeg3mTy8Xscbt,NA,4932320
heartland rock,https://api.spotify.com/v1/artists/0rvjqX7ttXeg3mTy8Xscbt,0rvjqX7ttXeg3mTy8Xscbt,,Journey,74,artist,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,https://open.spotify.com/artist/0rvjqX7ttXeg3mTy8Xscbt,NA,4932320
mellow gold,https://api.spotify.com/v1/artists/0rvjqX7ttXeg3mTy8Xscbt,0rvjqX7ttXeg3mTy8Xscbt,,Journey,74,artist,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,https://open.spotify.com/artist/0rvjqX7ttXeg3mTy8Xscbt,NA,4932320
rock,https://api.spotify.com/v1/artists/0rvjqX7ttXeg3mTy8Xscbt,0rvjqX7ttXeg3mTy8Xscbt,,Journey,74,artist,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,https://open.spotify.com/artist/0rvjqX7ttXeg3mTy8Xscbt,NA,4932320
soft rock,https://api.spotify.com/v1/artists/0rvjqX7ttXeg3mTy8Xscbt,0rvjqX7ttXeg3mTy8Xscbt,,Journey,74,artist,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,https://open.spotify.com/artist/0rvjqX7ttXeg3mTy8Xscbt,NA,4932320
glam rock,https://api.spotify.com/v1/artists/3PhoLpVuITZKcymswpck5b,3PhoLpVuITZKcymswpck5b,,Elton John,84,artist,spotify:artist:3PhoLpVuITZKcymswpck5b,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b,NA,11422104
mellow gold,https://api.spotify.com/v1/artists/3PhoLpVuITZKcymswpck5b,3PhoLpVuITZKcymswpck5b,,Elton John,84,artist,spotify:artist:3PhoLpVuITZKcymswpck5b,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b,NA,11422104
piano rock,https://api.spotify.com/v1/artists/3PhoLpVuITZKcymswpck5b,3PhoLpVuITZKcymswpck5b,,Elton John,84,artist,spotify:artist:3PhoLpVuITZKcymswpck5b,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b,NA,11422104
rock,https://api.spotify.com/v1/artists/3PhoLpVuITZKcymswpck5b,3PhoLpVuITZKcymswpck5b,,Elton John,84,artist,spotify:artist:3PhoLpVuITZKcymswpck5b,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b,NA,11422104
glam metal,https://api.spotify.com/v1/artists/58lV9VcRSjABbAbfWS6skp,58lV9VcRSjABbAbfWS6skp,,Bon Jovi,78,artist,spotify:artist:58lV9VcRSjABbAbfWS6skp,https://open.spotify.com/artist/58lV9VcRSjABbAbfWS6skp,NA,12121335
rock,https://api.spotify.com/v1/artists/58lV9VcRSjABbAbfWS6skp,58lV9VcRSjABbAbfWS6skp,,Bon Jovi,78,artist,spotify:artist:58lV9VcRSjABbAbfWS6skp,https://open.spotify.com/artist/58lV9VcRSjABbAbfWS6skp,NA,12121335
australian rock,https://api.spotify.com/v1/artists/711MCceyCBcFnzjGY4Q7Un,711MCceyCBcFnzjGY4Q7Un,,AC/DC,82,artist,spotify:artist:711MCceyCBcFnzjGY4Q7Un,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,NA,26277646
hard rock,https://api.spotify.com/v1/artists/711MCceyCBcFnzjGY4Q7Un,711MCceyCBcFnzjGY4Q7Un,,AC/DC,82,artist,spotify:artist:711MCceyCBcFnzjGY4Q7Un,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,NA,26277646
rock,https://api.spotify.com/v1/artists/711MCceyCBcFnzjGY4Q7Un,711MCceyCBcFnzjGY4Q7Un,,AC/DC,82,artist,spotify:artist:711MCceyCBcFnzjGY4Q7Un,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,NA,26277646
new romantic,https://api.spotify.com/v1/artists/5lpH0xAS4fVfLkACg9DAuM,5lpH0xAS4fVfLkACg9DAuM,,Wham!,68,artist,spotify:artist:5lpH0xAS4fVfLkACg9DAuM,https://open.spotify.com/artist/5lpH0xAS4fVfLkACg9DAuM,NA,2276856
new wave,https://api.spotify.com/v1/artists/5lpH0xAS4fVfLkACg9DAuM,5lpH0xAS4fVfLkACg9DAuM,,Wham!,68,artist,spotify:artist:5lpH0xAS4fVfLkACg9DAuM,https://open.spotify.com/artist/5lpH0xAS4fVfLkACg9DAuM,NA,2276856
new wave pop,https://api.spotify.com/v1/artists/5lpH0xAS4fVfLkACg9DAuM,5lpH0xAS4fVfLkACg9DAuM,,Wham!,68,artist,spotify:artist:5lpH0xAS4fVfLkACg9DAuM,https://open.spotify.com/artist/5lpH0xAS4fVfLkACg9DAuM,NA,2276856
soft rock,https://api.spotify.com/v1/artists/5lpH0xAS4fVfLkACg9DAuM,5lpH0xAS4fVfLkACg9DAuM,,Wham!,68,artist,spotify:artist:5lpH0xAS4fVfLkACg9DAuM,https://open.spotify.com/artist/5lpH0xAS4fVfLkACg9DAuM,NA,2276856
synthpop,https://api.spotify.com/v1/artists/5lpH0xAS4fVfLkACg9DAuM,5lpH0xAS4fVfLkACg9DAuM,,Wham!,68,artist,spotify:artist:5lpH0xAS4fVfLkACg9DAuM,https://open.spotify.com/artist/5lpH0xAS4fVfLkACg9DAuM,NA,2276856
irish rock,https://api.spotify.com/v1/artists/51Blml2LZPmy7TTiAg47vQ,51Blml2LZPmy7TTiAg47vQ,,U2,79,artist,spotify:artist:51Blml2LZPmy7TTiAg47vQ,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,NA,11000376
permanent wave,https://api.spotify.com/v1/artists/51Blml2LZPmy7TTiAg47vQ,51Blml2LZPmy7TTiAg47vQ,,U2,79,artist,spotify:artist:51Blml2LZPmy7TTiAg47vQ,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,NA,11000376
rock,https://api.spotify.com/v1/artists/51Blml2LZPmy7TTiAg47vQ,51Blml2LZPmy7TTiAg47vQ,,U2,79,artist,spotify:artist:51Blml2LZPmy7TTiAg47vQ,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,NA,11000376
album rock,https://api.spotify.com/v1/artists/2UZMlIwnkgAEDBsw1Rejkn,2UZMlIwnkgAEDBsw1Rejkn,,Tom Petty,69,artist,spotify:artist:2UZMlIwnkgAEDBsw1Rejkn,https://open.spotify.com/artist/2UZMlIwnkgAEDBsw1Rejkn,NA,2191388
classic rock,https://api.spotify.com/v1/artists/2UZMlIwnkgAEDBsw1Rejkn,2UZMlIwnkgAEDBsw1Rejkn,,Tom Petty,69,artist,spotify:artist:2UZMlIwnkgAEDBsw1Rejkn,https://open.spotify.com/artist/2UZMlIwnkgAEDBsw1Rejkn,NA,2191388
hard rock,https://api.spotify.com/v1/artists/2UZMlIwnkgAEDBsw1Rejkn,2UZMlIwnkgAEDBsw1Rejkn,,Tom Petty,69,artist,spotify:artist:2UZMlIwnkgAEDBsw1Rejkn,https://open.spotify.com/artist/2UZMlIwnkgAEDBsw1Rejkn,NA,2191388
heartland rock,https://api.spotify.com/v1/artists/2UZMlIwnkgAEDBsw1Rejkn,2UZMlIwnkgAEDBsw1Rejkn,,Tom Petty,69,artist,spotify:artist:2UZMlIwnkgAEDBsw1Rejkn,https://open.spotify.com/artist/2UZMlIwnkgAEDBsw1Rejkn,NA,2191388
mellow gold,https://api.spotify.com/v1/artists/2UZMlIwnkgAEDBsw1Rejkn,2UZMlIwnkgAEDBsw1Rejkn,,Tom Petty,69,artist,spotify:artist:2UZMlIwnkgAEDBsw1Rejkn,https://open.spotify.com/artist/2UZMlIwnkgAEDBsw1Rejkn,NA,2191388
rock,https://api.spotify.com/v1/artists/2UZMlIwnkgAEDBsw1Rejkn,2UZMlIwnkgAEDBsw1Rejkn,,Tom Petty,69,artist,spotify:artist:2UZMlIwnkgAEDBsw1Rejkn,https://open.spotify.com/artist/2UZMlIwnkgAEDBsw1Rejkn,NA,2191388
singer-songwriter,https://api.spotify.com/v1/artists/2UZMlIwnkgAEDBsw1Rejkn,2UZMlIwnkgAEDBsw1Rejkn,,Tom Petty,69,artist,spotify:artist:2UZMlIwnkgAEDBsw1Rejkn,https://open.spotify.com/artist/2UZMlIwnkgAEDBsw1Rejkn,NA,2191388
soft rock,https://api.spotify.com/v1/artists/2UZMlIwnkgAEDBsw1Rejkn,2UZMlIwnkgAEDBsw1Rejkn,,Tom Petty,69,artist,spotify:artist:2UZMlIwnkgAEDBsw1Rejkn,https://open.spotify.com/artist/2UZMlIwnkgAEDBsw1Rejkn,NA,2191388
album rock,https://api.spotify.com/v1/artists/77tT1kLj6mCWtFNqiOmP9H,77tT1kLj6mCWtFNqiOmP9H,,Daryl Hall & John Oates,72,artist,spotify:artist:77tT1kLj6mCWtFNqiOmP9H,https://open.spotify.com/artist/77tT1kLj6mCWtFNqiOmP9H,NA,2087468
classic rock,https://api.spotify.com/v1/artists/77tT1kLj6mCWtFNqiOmP9H,77tT1kLj6mCWtFNqiOmP9H,,Daryl Hall & John Oates,72,artist,spotify:artist:77tT1kLj6mCWtFNqiOmP9H,https://open.spotify.com/artist/77tT1kLj6mCWtFNqiOmP9H,NA,2087468
heartland rock,https://api.spotify.com/v1/artists/77tT1kLj6mCWtFNqiOmP9H,77tT1kLj6mCWtFNqiOmP9H,,Daryl Hall & John Oates,72,artist,spotify:artist:77tT1kLj6mCWtFNqiOmP9H,https://open.spotify.com/artist/77tT1kLj6mCWtFNqiOmP9H,NA,2087468
mellow gold,https://api.spotify.com/v1/artists/77tT1kLj6mCWtFNqiOmP9H,77tT1kLj6mCWtFNqiOmP9H,,Daryl Hall & John Oates,72,artist,spotify:artist:77tT1kLj6mCWtFNqiOmP9H,https://open.spotify.com/artist/77tT1kLj6mCWtFNqiOmP9H,NA,2087468
rock,https://api.spotify.com/v1/artists/77tT1kLj6mCWtFNqiOmP9H,77tT1kLj6mCWtFNqiOmP9H,,Daryl Hall & John Oates,72,artist,spotify:artist:77tT1kLj6mCWtFNqiOmP9H,https://open.spotify.com/artist/77tT1kLj6mCWtFNqiOmP9H,NA,2087468
singer-songwriter,https://api.spotify.com/v1/artists/77tT1kLj6mCWtFNqiOmP9H,77tT1kLj6mCWtFNqiOmP9H,,Daryl Hall & John Oates,72,artist,spotify:artist:77tT1kLj6mCWtFNqiOmP9H,https://open.spotify.com/artist/77tT1kLj6mCWtFNqiOmP9H,NA,2087468
soft rock,https://api.spotify.com/v1/artists/77tT1kLj6mCWtFNqiOmP9H,77tT1kLj6mCWtFNqiOmP9H,,Daryl Hall & John Oates,72,artist,spotify:artist:77tT1kLj6mCWtFNqiOmP9H,https://open.spotify.com/artist/77tT1kLj6mCWtFNqiOmP9H,NA,2087468
yacht rock,https://api.spotify.com/v1/artists/77tT1kLj6mCWtFNqiOmP9H,77tT1kLj6mCWtFNqiOmP9H,,Daryl Hall & John Oates,72,artist,spotify:artist:77tT1kLj6mCWtFNqiOmP9H,https://open.spotify.com/artist/77tT1kLj6mCWtFNqiOmP9H,NA,2087468
reggae,https://api.spotify.com/v1/artists/2QsynagSdAqZj3U9HgDzjD,2QsynagSdAqZj3U9HgDzjD,,Bob Marley & The Wailers,80,artist,spotify:artist:2QsynagSdAqZj3U9HgDzjD,https://open.spotify.com/artist/2QsynagSdAqZj3U9HgDzjD,NA,11441235
roots reggae,https://api.spotify.com/v1/artists/2QsynagSdAqZj3U9HgDzjD,2QsynagSdAqZj3U9HgDzjD,,Bob Marley & The Wailers,80,artist,spotify:artist:2QsynagSdAqZj3U9HgDzjD,https://open.spotify.com/artist/2QsynagSdAqZj3U9HgDzjD,NA,11441235
alternative rock,https://api.spotify.com/v1/artists/3RGLhK1IP9jnYFH4BRFJBS,3RGLhK1IP9jnYFH4BRFJBS,,The Clash,70,artist,spotify:artist:3RGLhK1IP9jnYFH4BRFJBS,https://open.spotify.com/artist/3RGLhK1IP9jnYFH4BRFJBS,NA,2506528
permanent wave,https://api.spotify.com/v1/artists/3RGLhK1IP9jnYFH4BRFJBS,3RGLhK1IP9jnYFH4BRFJBS,,The Clash,70,artist,spotify:artist:3RGLhK1IP9jnYFH4BRFJBS,https://open.spotify.com/artist/3RGLhK1IP9jnYFH4BRFJBS,NA,2506528
punk,https://api.spotify.com/v1/artists/3RGLhK1IP9jnYFH4BRFJBS,3RGLhK1IP9jnYFH4BRFJBS,,The Clash,70,artist,spotify:artist:3RGLhK1IP9jnYFH4BRFJBS,https://open.spotify.com/artist/3RGLhK1IP9jnYFH4BRFJBS,NA,2506528
